question;a1;a2;a3;a4;ra;image;topic;marked
10) Wie groß ist die in der ICAO-Standardatmosphäre angenommene Temperaturabnahme mit der Höhe?;A) 1° C / 100m;B) 0,65° C / 100m;C) 2° C / 1.000 m;D) 2° C / 100 m;2;0;Atmosphäre, Temperatur, Luftfeuchte;
11) Welche Temperaturabnahme pro 100m Höhe wird in der Internationalen Standard Atmosphäre zugrunde gelegt?;A) 1,0° C / 100m;B) 0,65° C / 100m;C) 0,8° C / 100m;D) 0,5° C / 100m;2;0;Atmosphäre, Temperatur, Luftfeuchte;
12) Unter Verdunstung versteht man den Übergang;A) flüssig - gasförmig;B) gasförmig - fest;C) fest - flüssig;D) gasförmig - flüssig;1;0;Atmosphäre, Temperatur, Luftfeuchte;
13) Unter Kondensation versteht man den Übergang;A) fest - flüssig;B) flüssig - gasförmig;C) gasförmig - fest;D) gasförmig - flüssig;4;0;Atmosphäre, Temperatur, Luftfeuchte;
14) Ein Kubikmeter Luft kann entsprechend seiner Temperatur 7,8 Gramm Wasser aufnehmen, er enthält aber nur 3,9 Gramm. Wie groß ist die relative Luftfeuchte?;A) 78 %;B) 39 %;C) 100 %;D) 50 %;4;0;Atmosphäre, Temperatur, Luftfeuchte;
1) Welche Faktoren führen zur Wolken- oder Nebelbildung, wenn die notwendigen Voraussetzungen (Kondensationskerne etc.) gegeben sind?;A) Abkühlung der Luft durch Hebung oder durch Ausstrahlung;B) Erwärmung der Luft durch Absinken oder Einstrahlung;C) Vergrößerung des Spread durch Erwärmung und damit erhöhte Wasserdampfaufnahme bis zur Sättigung;D) Turbulente Durchmischung;1;0;Wolken, Nebel, Kondensation;
2) Welche Zustandsänderung des Wassers setzt Wärme frei;A) fest - flüssig;B) flüssig - gasförmig;C) fest - gasförmig;D) gasförmig - flüssig;4;0;Wolken, Nebel, Kondensation;
3) Welche Niederschläge sind aus einer Aufgleitbewölkung im Sommer zu erwarten?;A) Schauer;B) Hagel;C) Dauerniederschlag;D) Kein Niederschlag;3;0;Wolken, Nebel, Kondensation;
4) Was sind Thermikwolken?;A) Schichtwolken;B) Eiswolken;C) Cumuluswolken;D) Mischung aus Schicht- und Cirruswolken;3;0;Wolken, Nebel, Kondensation;
5) Welche Wolkengattung bildet sich im Frühjahr und Sommer durch kräftige Sonneneinstrahlung bei meist vorher wolkenlosem Wetter aus?;A) Stratus;B) Cumulus;C) Nimbostratus;D) Cirrostratus;2;0;Wolken, Nebel, Kondensation;
6) Was sind Gewitterwolken?;A) Nimbostratuswolken;B) Cumulonimbuswolken;C) Altocumuluswolken;D) Wellenwolken;2;0;Wolken, Nebel, Kondensation;
7) Als Schichtwolken werden bezeichnet:;A) Cu, Cb, Sc;B) Cc, Ac, Cb;C) As, Ns, St;D) Ac, Sc, Cc;3;0;Wolken, Nebel, Kondensation;
8) Welche der genannten Wolkengattungen erreicht die größte vertikale Mächtigkeit?;A) Nimbostratus;B) Altocumulus;C) Stratocumulus;D) Stratus;1;0;Wolken, Nebel, Kondensation;
9) Bei welcher Wolkengattung muss mit Schauern gerechnet werden?;A) Stratocumulus;B) Cumulonimbus;C) Cirrostratus;D) Stratus;2;0;Wolken, Nebel, Kondensation;
1) Abbildung 21: Die Abbildung zeigt;A) die Windprognose in m/s für die 850 hPa Druckfläche (ca. 1.500 m GND);B) die Windprognose in kt bei einem Luftdruck von 850 hPa;C) die Windprognose in km/h für die 850 hPa Druckfläche (ca. 1.500 m MSL);D) die Windprognose in kt für die 850 hPa Druckfläche (ca. 1.500 m MSL);4;21;Wettervorhersage, -informationen, -karten;
2) Abbildung 21: Abbildung: Für den deutschen Alpenrand wird;A) Wind mit 10-15 kt aus SO bis OSO prognostiziert;B) Wind mit 10-15 km/h aus SO bis OSO prognostiziert;C) Wind mit 10-15 kt aus NW bis WNW prognostiziert;D) Wind mit 10-15 km/h aus NM bis WNW prognostiziert;1;21;Wettervorhersage, -informationen, -karten;
3) Wie bezeichnet man die Linien gleichen Luftdruckes auf einer Bodenwetterkarte?;A) Isotachen;B) Isohypsen;C) Isobaren;D) Isothermen;3;0;Wettervorhersage, -informationen, -karten;
4) Auf der Bodenwetterkarte sind Isobaren Linien, die Orte mit;A) gleicher Luftdruckänderung verbinden;B) gleichem QFF verbinden;C) gleichem QNH verbinden;D) gleichem QFE verbinden;2;0;Wettervorhersage, -informationen, -karten;
5) In der Bodenwetterkarte sind Gebiete hoher Windgeschwindigkeiten erkennbar durch;A) weit voneinander entfernte Isobaren;B) starke Krümmung der Isobaren;C) geringe Isobarenabstände;D) in sich geschlossene Isobaren;3;0;Wettervorhersage, -informationen, -karten;
6) In Gebieten, in denen auf der Bodenwetterkarte die Isobaren sehr weit auseinander liegen, kann man erwarten;A) schwachen Wind;B) auffrischenden Wind;C) starken Wind;D) böigen Wind;1;0;Wettervorhersage, -informationen, -karten;
7) Abbildung 27: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Welche Wetterlage im Alpenraum wird dargestellt?;A) Nordwestlage mit Nordstau und anhaltenden Niederschlägen auf der Alpennordseite und Nordföhn an der Alpensüdseite;B) Südföhnlage mit Südstau und Niederschlägen an der Alpensüdseite;C) Westwetterlage mit Zufuhr feuchter Luftmassen vom Atlantik an die Alpen;D) Mittelmeertief mit anhaltenden Niederschlägen an der Alpensüdseite;2;27;Wettervorhersage, -informationen, -karten;
8) Abbildung 27: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Mit welcher überregionalen Windrichtung ist im zentralen Alpenbereich zu rechnen?;A) nördliche Richtungen;B) östliche Richtungen;C) westliche Richtungen;D) südliche Richtungen;4;27;Wettervorhersage, -informationen, -karten;
9) Abbildung 27: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Die markante Ausbeulung der Isobaren im zentralen Alpenbereich nennt man;A) Föhnschneise;B) Föhnknie (auch Föhnknick);C) Isohypse;D) Isotherme;2;27;Wettervorhersage, -informationen, -karten;
10) Abbildung 27: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Welcher Bereich weist die höchsten Windgeschwindigkeiten auf?;A) Das Zentrum des Tiefdruckgebiets;B) Das Zentrum des Hochs;C) Der zentrale Alpenbereich;D) Der Bereich über dem Mittelmeer;3;27;Wettervorhersage, -informationen, -karten;
11) Abbildung 27: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Welche Aussage ist richtig?;A) Die Kaltfront des Tiefs mit Zentrum über der Biskaya hat in ihrem nördlichen Bereich mit der voraus ziehenden Warmfront eine Okklusion gebildet.;B) Die Warmfront des Tiefs mit Zentrum über der Biskaya hat in ihrem nördlichen Bereich mit der voraus ziehenden Kaltfront eine Okklusion gebildet;C) Auf dieser Bodenwetterkarte sind Warmfront und Kaltfront, aber keine Okklusion dargestellt.;D) Auf dieser Bodenwetterkarte sind Warmfront und Okklusion, aber keine Kaltfront dargestellt.;1;27;Wettervorhersage, -informationen, -karten;
12) Abbildung 28: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Welche Wetterlage im Alpenraum wird dargestellt?;A) Nordwestlage mit Nordstau und anhaltenden Niederschlägen an der Alpennordseite und Nordföhn an der Alpensüdseite;B) Südföhnlage mit Südstau und Niederschlägen an der Alpensüdseite;C) Westwetterlage mit Zufuhr feuchter Luftmassen vom Atlantik an die Alpen;D) Mittelmeertief mit anhaltenden Niederschlägen an der Alpensüdseite;1;28;Wettervorhersage, -informationen, -karten;
13) Abbildung 28: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Welchen Aufschluss gibt die Karte über die Kaltfront, die sich im Bereich der Alpen befindet?;A) Die Kaltfront wird der Warmfront in östlicher Richtung folgen.;B) Die Kaltfront wird nach Westen abschwenken;C) Die Kaltfront wird in südliche Richtung über die Alpen ziehen;D) Die Front im Bereich der Alpen ist eine stationäre Front;3;28;Wettervorhersage, -informationen, -karten;
14) Abbildung 28: Vereinfacht dargestellte Bodenwetterkarte auf der Abbildung. Mit welcher überregionalen Windrichtung ist im Alpenbereich zu rechnen?;A) nördliche Richtungen;B) östliche Richtungen;C) westliche Richtungen;D) südliche Richtungen;1;28;Wettervorhersage, -informationen, -karten;
15) Abbildung 29: Welche Angaben zeigen die Symbole in der Abbildung von links nach rechts?;A) Sonnenschein, 6/8 Bedeckung (stark bewölkt), 2/4 Bedeckung (wolkig), Himmel nicht erkennbar;B) 8/8 Bedeckung (bedeckt), 4/8 Bedeckung (wolkig), 2/8 Bedeckung (heiter), 0/8 Bedeckung (wolkenlos);C) Windgeschwindigkeit 0-2 kn, Windgeschwindigkeit -5 kn, Windgeschwindigkeit -15 kn, Windgeschwindigkeit -20 kn;D) 0/8 Bedeckung (wolkenlos), 2/8 Bedeckung (heiter), 4/8 Bedeckung (wolkig), 8/8 Bedeckung (bedeckt);4;29;Wettervorhersage, -informationen, -karten;
1) Abbildung 13: Wie ist das Wolkenbild auf der Abbildung zu interpretieren?;A) Umkehrthermik, da die Thermikwolken über dem Tal stehen;B) Die Wolken zeigen normale thermische Entwicklung, da der Talboden mehr Thermik produziert als die Berghänge;C) Föhn;D) Leethermik;4;13;Wolken interpretieren;
2) Abbildung 13: Wolkenbild auf der Abbildung: Welche Aussage ist richtig?;A) Das Wolkenbild lässt auf schwachen Höhenwind schließen.;B) Das Wolkenbild lässt darauf schließen, dass die Thermik auf der Schattenseite der Berge entsteht und mit dem starken Höhenwind über die Bergkämme verlagert wird;C) Die Wolkenthermik entsteht in der sonnenbeschienenen windabgewandten Seite der Berge und wird über Kammhöhe vom starken Höhenwind verblasen und zerrissen.;D) Das Wolkenbild lässt darauf schließen, dass sich die sonnenbeschienenen Hänge oberhalb des Tales im Luv der Höhenströmung befinden.;3;13;Wolken interpretieren;
3) Abbildung 13: Wolkenbild auf der Abbildung: Welche Flugbedingungen hat ein Gleitschirm- oder Drachenflieger zu erwarten?;A) Im Kammbereich und auch erheblich darunter, gefährliche Turbulenzen durch die Leewirkung des Höhenwindes;B) Kräftige Leethermik an der sonnenbeschienenen Flanke.;C) Ein von der Höhenströmung abgekoppelter Talwind, der zu der im Bild gezeigten Tageszeit kräftig ausfallen kann.;D) Alle Antworten sind richtig;4;13;Wolken interpretieren;
4) Abbildung 13: Wolkenbild auf der Abbildung: Welche Aussage ist richtig?;A) Die an den sonnenbeschienenen Bergflanken entstehende Thermik kann besonders kräftig werden, weil sie in ihrer Entstehung nicht von der Höhenströmung gestört wird.;B) Im Lee der Höhenströmung bildet sich an sonnenbeschienenen Bergflanken nur schwache Thermik.;C) Die an den sonnenbeschienenen Bergflanken entstehende Thermik kann besonders kräftig werden, weil sie in ihrer Entstehung von der Höhenströmung unterstützt wird.;D) Die im Bild sichtbare Wolkenthermik entsteht auf der schattigen Luvseite der Bergflanken.;1;13;Wolken interpretieren;
5) Abbildung 14: An der kleinen Cumuluswolke auf der Abbildung;A) ist die Windrichtung zu erkennen. Der Wind kommt von links;B) ist die Windrichtung zu erkennen. Der Wind kommt von rechts;C) ist die Windrichtung nicht zu erkennen;D) ist die Windrichtung zu erkennen. Der Wind bläst auf den Betrachter zu;1;14;Wolken interpretieren;
6) Abbildung 14: Ein Gleitschirm- oder Drachenflieger sollte den Bereich unterhalb der Cumuluswolke auf der Abbildung;A) mit großem Abstand umfliegen, weil er Gefahr läuft in sie hineingesogen zu werden.;B) links von ihrer Mitte, also luvseitig anfliegen;C) links von ihrer Mitte, also leeseitig anfliegen;D) rechts von ihrer Mitte, also luvseitig anfliegen;2;14;Wolken interpretieren;
7) Abbildung 16: Das Wolkenbild auf der Abbildung;A) zeigt normale Thermikentwicklung;B) zeigt windzerrissene, turbulente Thermik;C) zeigt Umkehrthermik über der Talmitte;D) zeigt typische Föhnwolken;2;16;Wolken interpretieren;
8) Abbildung 15: Das Wolkenbild auf der Abbildung zeigt;A) Cumuluswolken, stabile Schichtung, Gewittergefahr;B) Cumulunimbuswolken, Gewittergefahr;C) Cumuluswolken (Cumulus Castelanus), labile Schichtung, im Tagesverlauf Gewittergefahr;D) Cumuluswolken, wegen hoher vertikaler Ausprägung keine Gewittergefahr;3;15;Wolken interpretieren;
9) Abbildung 18: Welche Aussagen sind richtig?;A) Im Tal Kaltluft mit stabiler Schichtung und Inversion, darüber wärmere Luft mit labiler Schichtung und Bildung von Thermikwolken;B) Im Tal Kaltluft mit labiler Schichtung und Inversion, darüber wärmere Luft mit stabiler Schichtung und Bildung von Thermikwolken;C) Im Tal Warmluft mit stabiler Schichtung und Inversion, darüber kältere Luft mit labiler Schichtung und Bildung von Thermikwolken;D) Im Tal Warmluft mit labiler Schichtung und Inversion, darüber kältere Luft mit stabiler Schichtung und Bildung von Thermikwolken;1;18;Wolken interpretieren;
10) Abbildung 18:  Welche Aussagen sind richtig?;A) Oberhalb der Bodeninversion ist wegen der stabilen Schichtung Thermikentwicklung nicht möglich.;B) Oberhalb der Bodeninversion ist wegen der Warmluft Thermikentwicklung nicht möglich.;C) Oberhalb der Bodeninversion ist wegen der labilen Schichtung Thermikentwicklung möglich.;D) Oberhalb der Bodeninversion ist wegen der Kaltluft Thermikentwicklung möglich.;3;18;Wolken interpretieren;
11) Abbildung 18: Welche Aussage ist richtig?;A) Die Thermikentwicklung oberhalb der Bodeninversion bewirkt eine rasche Auflösung des Nebels im Tal.;B) Die Thermikentwicklung oberhalb der Bodeninversion muss keinen Einfluss auf den Nebel im Tal haben, dieser kann ganztägig beständig bleiben;C) Wegen fehlender Thermikentwicklung oberhalb der Bodeninversion, kann sich der Nebel im Tal nicht auflösen.;D) Weil die Luft oberhalb der Bodeninversion kälter ist als im Tal, ist eine rasche Auflösung des Nebels im Tal zu erwarten.;2;18;Wolken interpretieren;
12) Abbildung 19: Die Abbildung zeigt;A) ein kleinräumiges Nebelgebiet am Boden;B) eine Cumuluswolke, die bis zum Boden reicht;C) einen Dustdevil;D) eine Gebiet starken Niederschlags, wegen der ausfließenden Kaltluft können extreme Turbulenzen auftreten;4;19;Wolken interpretieren;
13) Abbildung 20: Welche Aussagen sind richtig?;A) Sichtbar ist die Grenze der Absinkinversion. Stärkere thermische Aufwinde können die Sperrschicht durchdringen und oberhalb zur Wolkenbildung führen. Wegen der abtrocknenden Absinkvorgänge bleibt das vertikale Wachstum der Cumuli gering.;B) Sichtbar ist eine Inversionsgrenze. Die Thermik, die zur Wolkenbildung führt, entwickelt sich oberhalb der Sperrschicht.;C) Sichtbar ist die Grenze der Absinkinversion. Oberhalb der Sperrschicht ist die Luftmasse kälter und feuchter als unterhalb. Es ist deshalb mit einem raschen vertikalen Wachstum der Cumuli zu rechnen;D) Keine Antwort ist richtig.;1;20;Wolken interpretieren;
14) Abbildung 31: Die Abbildung zeigt:;A) eine Föhnwolke (Altocumulus lenticularis) mit darunterliegender Thermikwolke.;B) eine Föhnwolke (Altocumulus lenticularis) mit darunterliegender Rotorwolke.;C) zwei Wolken der Gattung Altocumulus lenticularis;D) zwei Thermikwolken;2;31;Wolken interpretieren;
15) Abbildung 31: Welche Aussage ist richtig?;A) Die Wolke unterhalb der Lenticularis-Wolke bildet sich im Bereich des Föhn-Rotors.;B) Diese Wolken sind Anzeichen für extreme Luftturbulenzen.;C) Diese Wolken entstehen durch Kondensation und Wolkenauflösung bedingt durch die vertikale Bewegung des Föhn-Rotors.;D) Alle Antworten sind richtig;4;31;Wolken interpretieren;
16) Abbildung 32: Du fliegst diese Cumuluswolke an. Was ist zu beachten?;A) Diese Wolke sollte nicht angeflogen werden, weil sie bereits eine zu hohe vertikale Ausprägung hat;B) Diese Wolke sollte nicht angeflogen werden, weil sie bereits sichtbar in Auflösung begriffen, also thermisch inaktiv ist.;C) Der sog. Dom in der Mitte der Basis zeigt, dass die Wolke stark saugt, ausreichend Abstand zur Basis halten und rechtzeitig Richtung Wolkenrand fliegen.;D) Der sog. Dom in der Mitte der Wolkenbasis ist ein Gefahrenzeichen, er deutet darauf hin, dass sich ein Dust Devil oder eine Windhose entwickeln kann.;3;32;Wolken interpretieren;
17) Abbildung 32: Unter der Wolkenbasis beträgt das Steigen 6 m/s. Was hat ein Pilot zu erwarten, der in die Wolke gesogen wird?;A) Sehr raschen Orientierungsverlust und wegen der nun feuchtadiabatischen Abkühlung der Aufwinde, vermindertes Steigen.;B) Eingeschränkte Sicht, gleichbleibendes Steigen;C) Sofortige Vereisung, starke Abwinde;D) Sehr raschen Orientierungsverlust und wegen der nun feuchtadiabatischen Abkühlung der Aufwinde, zunehmendes Steigen.;4;32;Wolken interpretieren;
1) Bei starkem Föhn werden häufig linsenförmige Wolken beobachtet. Sie bilden sich;A) am stärksten hinter dem Gebirge in einer Entfernung von der 20-fachen Höhe des Hindernisses;B) nur in der Nähe des Kammes in gleicher Höhe;C) am Rotor der Föhnseite;D) oberhalb des Gebirgskammes und auf der Leeseite;4;0;Föhn;
2) Welche charakteristischen Merkmale zeigt das Wetter bei Südföhn auf der Alpennordseite?;A) Starke Bewölkung, Niederschlag, gute Sicht;B) Geringe Bewölkung, Temperaturanstieg, geringe Luftfeuchte, oftmals böige Winde;C) Geringe Bewölkung, kein Niederschlag, hohe Luftfeuchte;D) Wechselnde Bewölkung, einzelne Schauer, schwacher Wind;2;0;Föhn;
3) Welchen Einfluss auf das Wettergeschehen im Voralpengebiet hat häufig das Vorhandensein eines kräftigen Tiefdruckgebietes über der Biskaya und eines ausgeprägten Hochdruckgebietes über Südosteuropa?;A) Kaltlufteinbruch mit Stau am Alpennordrand;B) Windschwache Lagen mit verbreitet auftretendem Nebel;C) Ausgeprägte Gewitterlage, besonders in Ostbayern;D) Südföhnwetterlage mit hoher Windgeschwindigkeit;4;0;Föhn;
4) Altocumulus Lenticularis sind;A) nahezu ortsfest, weil sich die Wolke durch Kondensation und Auflösung am Scheitelpunkt der Föhnwelle stets neu bildet und wieder auflöst.;B) ortsfest, weil sie immer vom gleichen thermischen Aufwind gespeist werden.;C) nicht ortsfest, sie werden mit der Höhenströmung abgetrieben.;D) ortsfest, sie bilden sich immer im Lee derselben Berge;1;0;Föhn;
5) Wenn im Bereich des Scheitelpunktes der Föhnwelle die Temperatur nicht unterhalb des Taupunktes fällt,;A) liegt keine Föhnlage vor.;B) kommt es dennoch zu Bildung von Lenticulariswolken.;"C) spricht man von \""seichtem\"" Föhn?.";D) herrscht Föhn ohne Ausbildung von Lenticulariswolken;4;0;Föhn;
"6) Der Flugwetterbericht spricht von ""seichtem Föhn"" an der Alpennordseite. Was ist damit gemeint?";A) Föhn, der auf die unteren Luftschichten begrenzt ist und keine starke Höhenströmung bildet.;B) Föhn, der auf die oberen Luftschichten begrenzt ist und die bodennahen Luftschichten nicht betrifft.;C) Immer dann, wenn sich bei Südföhn keine Lenticularis-Wolken bilden, wird dies als seichter Föhn? bezeichnet.;D) Damit ist eine schwache föhnige Südströmung gemeint, die keine gefährlichen Auswirkungen auf den Flugsport hat.;1;0;Föhn;
7) Abbildung 41: Auf der Abbildung ist die prognostizierte Druckdifferenz zwischen Innsbruck (AT) auf der Alpennordseite und Bozen (IT) auf der Alpensüdseite dargestellt. Sie kündigt;A) ausgeprägten Nordföhn an der Alpensüdseite ab zweiten Vorhersagetag und eine Umstellung auf eine Südföhnlage an der Alpennordseite für den vierten und fünften Vorhersagetag an;B) ausgeprägten Nordföhn an der Alpennordseite ab zweiten Vorhersagetag und eine Umstellung auf eine starke Südföhnlage an der Alpensüdseite für den vierten und fünften Vorhersagetag an;C) ausgeprägten Südföhn an der Alpennordseite ab zweiten Vorhersagetag und eine Umstellung auf eine starken Nordföhnlage an der Alpensüdseite für den vierten und fünften Vorhersagetag an;D) weder für die Alpennordseite noch für die Alpensüdseite Föhnlagen in den Vorhersagetagen an;1;41;Föhn;
1) Abbildung 22: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Die Schichtung der Atmosphäre ist für Luft, welche ohne Kondensation aufsteigt, stabil, weil diese aufsteigende Luft stärker abkühlt als die Umgebungsluft.;B) In diesem Schichtungsdiagramm erreicht die aufsteigende Luft das Kondensationsniveau nicht.;C) Der trocken-adiabatische Temperaturgradient ist labil, weil die aufsteigende Luft weniger abkühlt als die Umgebungsluft.;D) Die Temperaturschichtung der Umgebungsluft zeigt bis 500 m GND eine Isothermie.;1;22;Thermik, Schichtung, Adiabatik 1;
2) Abbildung 22: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Kondensationsniveau bei ca. 1.800 m GND, starkes vertikal Wolkenwachstum, Gewittergefahr.;B) In diesem Schichtungsdiagramm erreicht die aufsteigende Luft das Kondensationsniveau nicht, Blauthermik;C) Kondensationsniveau bei ca. 1.800 m GND, mäßiges vertikal Wolkenwachstum, bis ca. 2.600 GND.;D) Wegen der Stabilität des trocken-adiabatischen Temperaturgradienten ist keine Thermikentwicklung zu erwarten.;3;22;Thermik, Schichtung, Adiabatik 1;
3) Abbildung 22: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Eine Inversion von GND bis 500 m GND verhindert ein starkes vertikales Wachstum der Wolken.;B) Die Stabilität des trocken-adiabatischen Temperaturgradienten verhindert ein starkes vertikales Wachstum der Wolken;C) Die Labilität des feucht-adiabatischen Temperaturgradienten begünstigt ein starkes vertikales Wachstum der Wolken;D) Eine Inversion ab 2.500 GND verhindert ein starkes vertikales Wachstum der Wolken.;4;22;Thermik, Schichtung, Adiabatik 1;
4) Abbildung 22: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig? Auf ca. 1.900 m GND befindet sich;A) die Wolkenbasis;B) das Kondensationsniveau der aufsteigenden Luft;C) der Bereich, in welchem die aufsteigende Luft 100% Luftfeuchtigkeit erreicht hat;D) Alle Antworten sind richtig;4;22;Thermik, Schichtung, Adiabatik 1;
5) Abbildung 22: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Die Temperatur, bei welcher der Wasserdampf der aufsteigenden feuchten Luft kondensiert, heißt Taupunktdifferenz;B) Die Temperatur, bei welcher der Wasserdampf der aufsteigenden feuchten Luft kondensiert, heißt Auslösetemperatur;C) Die Temperatur, bei welcher der Wasserdampf der aufsteigenden feuchten Luft kondensiert, heißt Taupunkttemperatur;D) Die Temperatur, bei welcher der Wasserdampf der aufsteigenden feuchten Luft kondensiert, heißt Spread;3;22;Thermik, Schichtung, Adiabatik 1;
6) Abbildung 24: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welches Wolkenbild entspricht dem abgebildeten Temp?;A) A;B) B;C) C;D) D;1;24;Thermik, Schichtung, Adiabatik 1;
7) Abbildung 23: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Wolkenbasis bei ca. 2500 m GND, starkes vertikal Wolkenwachstum, Gewittergefahr.;B) In diesem Schichtungsdiagramm erreicht die aufsteigende Luft das Kondensationsniveau nicht, Blauthermik;C) Kondensationsniveau bei ca. 2500 m GND, schwaches vertikal Wolkenwachstum.;D) Wegen der Stabilität des trocken-adiabatischen Temperaturgradienten ist keine Thermikentwicklung zu erwarten.;1;23;Thermik, Schichtung, Adiabatik 1;
8) Abbildung 25: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welches Wolkenbild entspricht dem abgebildeten Temp?;A) A;B) B;C) C;D) D;4;25;Thermik, Schichtung, Adiabatik 1;
9) Abbildung 26: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Wolkenbasis bei ca. 3000 m GND, starkes vertikal Wolkenwachstum, Gewittergefahr.;B) In diesem Schichtungsdiagramm erreicht die aufsteigende Luft das Kondensationsniveau nicht, Blauthermik bis ca. 3000 m GND;C) Kondensationsniveau bei ca. 3000 m GND, schwaches vertikal Wolkenwachstum.;D) Wegen der Stabilität des trocken-adiabatischen Temperaturgradienten ist keine Thermikentwicklung zu erwarten.;2;26;Thermik, Schichtung, Adiabatik 1;
10) Abbildung 26: Vereinfacht dargestelltes Schichtungsdiagramm auf der Abbildung: Welche Aussagen sind richtig?;A) Die Bildung von Cumuluswolken ist nicht zu erwarten;B) Die thermische Ablösung kühlt im Aufstieg trockenadiabatisch ab;C) Bei ca. 3000 m GND hat sich die Temperatur in der aufsteigenden Thermik auf die Umgebungstemperatur abgekühlt.;D) Alle Antworten sind richtig;4;26;Thermik, Schichtung, Adiabatik 1;
11) Warum kühlt sich aufsteigende Luft ab, obwohl sie an die Umgebung keine Wärme abgibt?;A) weil die aufsteigende Luft, wegen der Abnahme des Außendrucks, komprimiert wird;B) weil die aufsteigende Luft, wegen der Zunahme des Außendrucks, komprimiert wird;C) weil sich die aufsteigende Luft, wegen der Zunahme des Außendrucks, ausdehnt;D) weil sich die aufsteigende Luft, wegen der Abnahme des Außendruck, ausdehnt;4;0;Thermik, Schichtung, Adiabatik 1;
12) Wovon hängt es ab, wie hoch und wie schnell ein Luftpaket aufsteigt?;A) Vom Temperaturvorsprung der Ablösung am Boden im Vergleich zur Umgebungsluft;B) Vom Schichtungsgradienten der Umgebungsluft;C) Von der Feuchtigkeit des aufsteigenden Luftpaketes;D) Alle Antworten sind richtig;4;0;Thermik, Schichtung, Adiabatik 1;
13) Wann endet der Aufstieg eines Luftpakets?;A) An der Tropopause;B) Stets an einer Inversion;C) Wenn das aufsteigende Luftpaket auf die Temperatur der Umgebungsluft abgekühlt ist;D) Bis der Druckausgleich zwischen dem aufsteigenden Luftpaket und der Umgebungsluft hergestellt ist.;3;0;Thermik, Schichtung, Adiabatik 1;
14) Um wie viel Grad pro 100m kühlt sich trockene Luft beim Aufsteigen ab?;A) 0,5° C / 100m.;B) 0,65° C / 100m;C) 1,0° C / 100m;D) 6,5° C / 100m;3;0;Thermik, Schichtung, Adiabatik 1;
15) Wann spricht man von einem trockenadiabatischen Vorgang? Wenn;A) sich Wolken bilden, ohne dass es zu Niederschlag kommt;B) die Luft beim Aufsteigen sich um 1°C/100m abkühlt oder beim Absinken sich um 1°C/100m erwärmt und keine Wolkenbildung (Kondensation) zeigt;C) sich beim Aufsteigen (oder Absinken) der Luft etwa vorhandene Wolken auflösen;D) fallender Niederschlag infolge der Trockenheit der Luft verdunstet, bevor er den Erdboden erreicht;2;0;Thermik, Schichtung, Adiabatik 1;
1) Luft steigt auf, dehnt sich aus, kühlt sich ab. Trotz Abkühlung kann die aufsteigende Luft zunehmend wärmer als die Umgebung sein. Die Folge ist immer weiteres Aufsteigen. Hierbei handelt es sich um eine;A) stabile Luftschichtung;B) indifferente Luftschichtung;C) labile Luftschichtung;D) variable Luftschichtung;3;0;Thermik, Schichtung, Adiabatik 2;
2) Aufsteigende, nicht gesättigte Luft dehnt sich aus und kühlt sich ab, und zwar um;A) 0,65 °C/100m.;B) 0,065 °C/100m;C) 0,65 °C/1.000m;D) 1,0 °C/100m;4;0;Thermik, Schichtung, Adiabatik 2;
3) Um wie viel kühlt sich aufsteigende, gesättigte Luft durchschnittlich ab? Um;A) 0,6 °C/100m;B) 0,06 °C/100m;C) 0,6 °C/1000m;D) 1,0 °C/100m;1;0;Thermik, Schichtung, Adiabatik 2;
4) Welcher Vorgang heißt feuchtadiabatisch?;A) Trockene Luft erreicht das Kondensationsniveau und bildet Wolken;B) Durch Absinken feuchter Luftmassen kondensiert der Wasserdampf;C) Gesättigte Luft steigt auf und kühlt sich mit weniger als 1°C/100m ab;D) Mit Feuchtigkeit gesättigte Luft steigt auf und kühlt sich mit mehr als 1°C/100m ab;3;0;Thermik, Schichtung, Adiabatik 2;
5) Welche Temperatur weist Luft von 20°C auf, wenn sie trockenadiabatisch um 800m aufgestiegen ist?;A) 16 °C;B) 8 °C;C) 28 °C;D) 12 °C;4;0;Thermik, Schichtung, Adiabatik 2;
